grade;standard;manufacturer;country;source;analogues;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
SVERKER 21;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;К110|2379 ISO-B|1.2379;1,55;11,5;0,8;0,8;;;;0,4;0,3;;;;;;
2379 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;К110|SVERKER 21|1.2379;1,55;11,5;0,8;0,8;;;;0,4;0,3;;;;;;
CALDIE;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,7;5,0;2,3;0,5;;;;0,5;0,2;;;;;;
SLEIPNER;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,9;7,8;2,5;0,45;;;;0,5;0,9;;;;;;
K340 ISODUR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;1,1;8,3;2,1;0,5;;;;0,4;0,9;;;;;;+Al, Nb
K360 ISODUR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;1,25;8,75;2,7;1,18;;;;0,35;0,9;;;;;;+Al, Nb
K890 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;0,85;4,35;2,8;2,1;2,55;;;0,4;0,55;;;;;;Co=4,5
K490 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;1,4;6,4;1,5;3,7;3,5;;;;;;;;;;+Nb
VANADIS 4 Extra;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;1,4;4,7;3,5;3,7;;;;0,4;0,4;;;;;;
VANADIS 8;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;2,3;4,8;3,6;8,0;;;;0,4;0,4;;;;;;
K390 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;2,47;4,2;3,8;9,0;1,0;;0,2;0,4;0,55;;;;;;Co=2,0
VANCRON SUPERCLEAN;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;1,3;4,5;1,8;10,0;3,7;;;0,4;0,5;;;;;;N=1,8
S630;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.3343;1,0;4,0;4,0;2,0;4,0;;;0,4;0,45;;;;;;Al=0,5
S730;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.3243;0,94;4,1;4,2;2,0;4,3;;;0,3;0,4;;;;;;Co=4,75Al=0,5
S690 Microclean (S693);Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.3351;1,35;4,1;5,0;4,1;5,9;;;0,3;0,6;;;;;;
S790 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;VANADIS 23|1.3345ASP 2023;1,29;4,2;5,0;3,1;6,4;;;0,3;0,6;;;;;;
VANADIS 23;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;S790 Microclean|1.3345ASP 2023;1,29;4,2;5,0;3,1;6,4;;;0,3;0,6;;;;;;
1.3345ASP 2023;EN, Европа;;Европа;csv:Марки ВЭМ.csv;S790 Microclean|VANADIS 23;1,29;4,2;5,0;3,1;6,4;;;0,3;0,6;;;;;;
VANADIS 30;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;S590 Microclean|1.3244ASP 2030;1,29;4,2;5,0;3,1;6,4;;;0,3;0,6;;;;;;Co=8,4Co=8,5
1.3244ASP 2030;EN, Европа;;Европа;csv:Марки ВЭМ.csv;S590 Microclean|VANADIS 30;1,29;4,2;5,0;3,1;6,4;;;0,3;0,6;;;;;;Co=8,4Co=8,5
VANADIS 60;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.3241ASP 2060;2,3;4,2;7;6,5;6,5;;;0,3;0,6;;;;;;Co=10,5
1.3241ASP 2060;EN, Европа;;Европа;csv:Марки ВЭМ.csv;VANADIS 60;2,3;4,2;7;6,5;6,5;;;0,3;0,6;;;;;;Co=10,5
S290 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;2,0;3,8;2,5;5,1;14,3;;;0,3;0,5;;;;;;Co=11,0
MC90;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;;;15,0;;;;;0,2;0,6;;;;;;Co=25
201;AISI, США;;США;csv:Аустенитные стали.csv;S20100|1.4372;0,15;16,0-18,0;;;;;3,5-5,5;5,5-7,5;1,00;0,03;0,06;;;0,25 N;
S20100;UNS, США;;США;csv:Аустенитные стали.csv;201|1.4372;0,15;16,0-18,0;;;;;3,5-5,5;5,5-7,5;1,00;0,03;0,06;;;0,25 N;
1.4372;EN, Европа;;Европа;csv:Аустенитные стали.csv;201|S20100;0,15;16,0-18,0;;;;;3,5-5,5;5,5-7,5;1,00;0,03;0,06;;;0,25 N;
202;AISI, США;;США;csv:Аустенитные стали.csv;S20200|1.4373;0,15;17,0-19,0;;;;;4,0-6,0;7,5-10,0;1,00;0,03;0,06;;;0,25 N;
S20200;UNS, США;;США;csv:Аустенитные стали.csv;202|1.4373;0,15;17,0-19,0;;;;;4,0-6,0;7,5-10,0;1,00;0,03;0,06;;;0,25 N;
1.4373;EN, Европа;;Европа;csv:Аустенитные стали.csv;202|S20200;0,15;17,0-19,0;;;;;4,0-6,0;7,5-10,0;1,00;0,03;0,06;;;0,25 N;
1.4319;EN, Европа;;Европа;csv:Аустенитные стали.csv;302|S30200;0,15;17,0-19,0;;;;;8,0-10,0;2,0;1,00;0,03;0,045;;;;
302B;AISI, США;;США;csv:Аустенитные стали.csv;S30215;0,15;17,0-19,0;;;;;8,0-10,0;2,0;2,0-3,0;0,03;0,045;;;;
S30215;UNS, США;;США;csv:Аустенитные стали.csv;302B;0,15;17,0-19,0;;;;;8,0-10,0;2,0;2,0-3,0;0,03;0,045;;;;
303Se;AISI, США;;США;csv:Аустенитные стали.csv;S30323;0,15;17,0-19,0;;;;;8,0-10,0;2,0;1,00;0,06;0,20;;;;0,15 Se min
S30323;UNS, США;;США;csv:Аустенитные стали.csv;303Se;0,15;17,0-19,0;;;;;8,0-10,0;2,0;1,00;0,06;0,20;;;;0,15 Se min
304H;AISI, США;;США;csv:Аустенитные стали.csv;S30409|1.4948;0,04-0,10;18,0-20,0;;;;;8,0-10,5;2,0;1,00;0,03;0,045;;;;
S30409;UNS, США;;США;csv:Аустенитные стали.csv;304H|1.4948;0,04-0,10;18,0-20,0;;;;;8,0-10,5;2,0;1,00;0,03;0,045;;;;
1.4948;EN, Европа;;Европа;csv:Аустенитные стали.csv;304H|S30409;0,04-0,10;18,0-20,0;;;;;8,0-10,5;2,0;1,00;0,03;0,045;;;;
304L;AISI, США;;США;csv:Аустенитные стали.csv;S30403|1.4306;0,03;18,0-20,0;;;;;8,0-12,0;2,0;1,00;0,03;0,045;;;;
S30403;UNS, США;;США;csv:Аустенитные стали.csv;304L|1.4306;0,03;18,0-20,0;;;;;8,0-12,0;2,0;1,00;0,03;0,045;;;;
1.4306;EN, Европа;;Европа;csv:Аустенитные стали.csv;304L|S30403;0,03;18,0-20,0;;;;;8,0-12,0;2,0;1,00;0,03;0,045;;;;
304LN;AISI, США;;США;csv:Аустенитные стали.csv;S30453|1.4311;0,03;18,0-20,0;;;;;8,0-12,0;2,0;1,00;0,03;0,045;;;0,10-0,16 N;
S30453;UNS, США;;США;csv:Аустенитные стали.csv;304LN|1.4311;0,03;18,0-20,0;;;;;8,0-12,0;2,0;1,00;0,03;0,045;;;0,10-0,16 N;
1.4311;EN, Европа;;Европа;csv:Аустенитные стали.csv;304LN|S30453;0,03;18,0-20,0;;;;;8,0-12,0;2,0;1,00;0,03;0,045;;;0,10-0,16 N;
304N;AISI, США;;США;csv:Аустенитные стали.csv;S30451;0,08;18,0-20,0;;;;;8,0-10,5;2,0;1,00;0,03;0,045;;;0,10-0,16 N;
S30451;UNS, США;;США;csv:Аустенитные стали.csv;304N;0,08;18,0-20,0;;;;;8,0-10,5;2,0;1,00;0,03;0,045;;;0,10-0,16 N;
305;AISI, США;;США;csv:Аустенитные стали.csv;S30500|1.4303;0,12;17,0-19,0;;;;;10,0-13,0;2,0;1,00;0,03;0,045;;;;
S30500;UNS, США;;США;csv:Аустенитные стали.csv;305|1.4303;0,12;17,0-19,0;;;;;10,0-13,0;2,0;1,00;0,03;0,045;;;;
1.4303;EN, Европа;;Европа;csv:Аустенитные стали.csv;305|S30500;0,12;17,0-19,0;;;;;10,0-13,0;2,0;1,00;0,03;0,045;;;;
308;AISI, США;;США;csv:Аустенитные стали.csv;S30800;0,08;19,0-21,0;;;;;10,0-12,0;2,0;1,00;0,03;0,045;;;;
