grade;standard;manufacturer;country;source
321;AISI, США;;США;csv:Аустенитные стали.csv
S32100;UNS, США;;США;csv:Аустенитные стали.csv
329;AISI, США;;США;csv:Аустенитные стали.csv
S32900;UNS, США;;США;csv:Аустенитные стали.csv
347/347H;AISI, США;;США;csv:Аустенитные стали.csv
S34700;UNS, США;;США;csv:Аустенитные стали.csv
1.4550;EN, Европа;;Европа;csv:Аустенитные стали.csv
Alleima® 353 MA;AISI, США;;США;csv:Аустенитные стали.csv
S35315;UNS, США;;США;csv:Аустенитные стали.csv
Sanicro® 25;AISI, США;;США;csv:Аустенитные стали.csv
1.4959;EN, Европа;;Европа;csv:Аустенитные стали.csv
20 Cb3™;AISI, США;;США;csv:Аустенитные стали.csv
N08020;UNS, США;;США;csv:Аустенитные стали.csv
2.4660;EN, Европа;;Европа;csv:Аустенитные стали.csv
20 Mo6™;AISI, США;;США;csv:Аустенитные стали.csv
N08026;UNS, США;;США;csv:Аустенитные стали.csv
2.4858;EN, Европа;;Европа;csv:Аустенитные стали.csv
SANICRO™ 28;AISI, США;;США;csv:Аустенитные стали.csv
N08028;UNS, США;;США;csv:Аустенитные стали.csv
1.4563;EN, Европа;;Европа;csv:Аустенитные стали.csv
SANICRO™ 35;AISI, США;;США;csv:Аустенитные стали.csv
N08035;UNS, США;;США;csv:Аустенитные стали.csv
AL-6XN®;AISI, США;;США;csv:Аустенитные стали.csv
N08367;UNS, США;;США;csv:Аустенитные стали.csv
1.4547;EN, Европа;;Европа;csv:Аустенитные стали.csv
JST™ 700;AISI, США;;США;csv:Аустенитные стали.csv
N08700;UNS, США;;США;csv:Аустенитные стали.csv
904L;AISI, США;;США;csv:Аустенитные стали.csv
N08904;UNS, США;;США;csv:Аустенитные стали.csv
1.4539;EN, Европа;;Европа;csv:Аустенитные стали.csv
1925hMo, 25-6Mo™;AISI, США;;США;csv:Аустенитные стали.csv
N08925;UNS, США;;США;csv:Аустенитные стали.csv
1.4529;EN, Европа;;Европа;csv:Аустенитные стали.csv
Alloy 926;AISI, США;;США;csv:Аустенитные стали.csv
N08926;UNS, США;;США;csv:Аустенитные стали.csv
254SMO™;AISI, США;;США;csv:Аустенитные стали.csv
S31254;UNS, США;;США;csv:Аустенитные стали.csv
317LM;AISI, США;;США;csv:Аустенитные стали.csv
S31725;UNS, США;;США;csv:Аустенитные стали.csv
17-14-4 LN;AISI, США;;США;csv:Аустенитные стали.csv
S31726;UNS, США;;США;csv:Аустенитные стали.csv
1.4460;EN, Европа;;Европа;csv:Дуплексные стали.csv
"3RE60
Alleima® 3RE60";AISI, США;;США;csv:Дуплексные стали.csv
S31500;UNS, США;;США;csv:Дуплексные стали.csv
1.4424;EN, Европа;;Европа;csv:Дуплексные стали.csv
U50;AISI, США;;США;csv:Дуплексные стали.csv
S32004;UNS, США;;США;csv:Дуплексные стали.csv
1.4362;EN, Европа;;Европа;csv:Дуплексные стали.csv
S32001;UNS, США;;США;csv:Дуплексные стали.csv
S32101;UNS, США;;США;csv:Дуплексные стали.csv
1.4162;EN, Европа;;Европа;csv:Дуплексные стали.csv
S32202;UNS, США;;США;csv:Дуплексные стали.csv
1.4062;EN, Европа;;Европа;csv:Дуплексные стали.csv
S82011;UNS, США;;США;csv:Дуплексные стали.csv
1.4482;EN, Европа;;Европа;csv:Дуплексные стали.csv
"2304
SAF™ 2304";AISI, США;;США;csv:Дуплексные стали.csv
S32304;UNS, США;;США;csv:Дуплексные стали.csv
1.4462;EN, Европа;;Европа;csv:Дуплексные стали.csv
