grade;link;db_standard;expected_standard;standard_expected_source;cc;country_cc;country_card;maker_card;maker_table;status
X250Cr12KU;https://zknives.com/knives/steels/x250cr12ku.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Италия;;Ossenberg;mismatch
X210Cr13KU;https://zknives.com/knives/steels/x210cr13ku.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Италия;;Ossenberg;mismatch
Cr12;https://zknives.com/knives/steels/cr12.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Китай;;Ossenberg;placeholder
T21200;https://zknives.com/knives/steels/t21200.shtml;UNS, США;Ossenberg, Германия;table_maker;DE;Германия;Китай;;Ossenberg;mismatch
19437;https://zknives.com/knives/steels/19437.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Чехия;;Ossenberg;placeholder
19435;https://zknives.com/knives/steels/19435.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Чехия;;Ossenberg;placeholder
19436;https://zknives.com/knives/steels/19436.shtml;zknives.com, Международная база;Villares Metals, Бразилия;table_maker;BR;Бразилия;Чехия;;Villares Metals;placeholder
C.4150;https://zknives.com/knives/steels/c.4150.shtml;zknives.com, Международная база;JUS, Германия;card_maker;DE;Германия;Macedonia;JUS;Ossenberg;placeholder
F.5212;https://zknives.com/knives/steels/f.5212.shtml;zknives.com, Международная база;UNE, Бразилия;card_maker;BR;Бразилия;Испания;UNE;Villares Metals;placeholder
F.521;https://zknives.com/knives/steels/f.521.shtml;zknives.com, Международная база;UNE, Германия;card_maker;DE;Германия;Испания;UNE;Ossenberg;placeholder
X120Cr12;https://zknives.com/knives/steels/x120cr12.shtml;DIN, Германия;UNE, Германия;card_maker;DE;Германия;Испания;UNE;Ossenberg;mismatch
X210CM2;https://zknives.com/knives/steels/x210cm2.shtml;DIN, Германия;UNE, Германия;card_maker;DE;Германия;Испания;UNE;Ossenberg;mismatch
H12;https://zknives.com/knives/steels/h12.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Россия;;Ossenberg;placeholder
X12;https://zknives.com/knives/steels/x12.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Россия;;Ossenberg;mismatch
KH12;https://zknives.com/knives/steels/kh12.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Россия;;Ossenberg;placeholder
T30403;https://zknives.com/knives/steels/t30403.shtml;UNS, США;Ossenberg, Германия;table_maker;DE;Германия;США;;Ossenberg;mismatch
205Cr115;https://zknives.com/knives/steels/205cr115.shtml;GB/T, Китай;STAS, Германия;card_maker;DE;Германия;Romania;STAS;Ossenberg;mismatch
NC11;https://zknives.com/knives/steels/nc11.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Польша;;Ossenberg;placeholder
K1;https://zknives.com/knives/steels/k1.shtml;zknives.com, Международная база;MSZ, Германия;card_maker;DE;Германия;Hungary;MSZ;Ossenberg;placeholder
XT215Cr12;https://zknives.com/knives/steels/xt215cr12.shtml;zknives.com, Международная база;IS, Германия;card_maker;DE;Германия;India;IS;Ossenberg;placeholder
STD1;https://zknives.com/knives/steels/std1.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;South Korea;;Ossenberg;placeholder
Narva12B;https://zknives.com/knives/steels/narva12b.shtml;zknives.com, Международная база;Akers, Германия;card_maker;DE;Германия;Франция;Akers;Ossenberg;placeholder
Huron;https://zknives.com/knives/steels/huron.shtml;zknives.com, Международная база;Allegheny Ludlum, Германия;card_maker;DE;Германия;США;Allegheny Ludlum;Ossenberg;placeholder
XW5;https://zknives.com/knives/steels/xw5.shtml;zknives.com, Международная база;Assab, Бразилия;card_maker;BR;Бразилия;Швеция;Assab;Villares Metals;placeholder
SC13;https://zknives.com/knives/steels/sc13.shtml;zknives.com, Международная база;"Balfour &amp; Darwins, Германия";card_maker;DE;Германия;Великобритания;"Balfour &amp; Darwins";Ossenberg;placeholder
SC26;https://zknives.com/knives/steels/sc26.shtml;zknives.com, Международная база;"Balfour &amp; Darwins, Германия";card_maker;DE;Германия;Великобритания;"Balfour &amp; Darwins";Ossenberg;placeholder
BE2080;https://zknives.com/knives/steels/be2080.shtml;zknives.com, Международная база;Bestar, Германия;card_maker;DE;Германия;Германия;Bestar;Ossenberg;placeholder
Sverker3;https://zknives.com/knives/steels/sverker3.shtml;zknives.com, Международная база;Bohler-Uddeholm, Бразилия;card_maker;BR;Бразилия;Швеция;Bohler-Uddeholm;Villares Metals;placeholder
K104;https://zknives.com/knives/steels/k104.shtml;zknives.com, Международная база;Bohler-Uddeholm, Германия;card_maker;DE;Германия;Швеция;Bohler-Uddeholm;Ossenberg;placeholder
K100;https://zknives.com/knives/steels/k100.shtml;zknives.com, Международная база;Bohler-Uddeholm, Германия;card_maker;DE;Германия;Швеция;Bohler-Uddeholm;Ossenberg;placeholder
K1000;https://zknives.com/knives/steels/k1000.shtml;zknives.com, Международная база;Bohler-Uddeholm, Германия;card_maker;DE;Германия;Швеция;Bohler-Uddeholm;Ossenberg;placeholder
B80;https://zknives.com/knives/steels/b80.shtml;zknives.com, Международная база;Boncato, Германия;card_maker;DE;Германия;Италия;Boncato;Ossenberg;placeholder
Hampden Tool Steel;https://zknives.com/knives/steels/hampden_tool_steel.shtml;zknives.com, Международная база;Carpenter, Германия;card_maker;DE;Германия;США;Carpenter;Ossenberg;placeholder
Hampden;https://zknives.com/knives/steels/hampden.shtml;zknives.com, Международная база;Carpenter, Германия;card_maker;DE;Германия;США;Carpenter;Ossenberg;placeholder
