grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
1.50269255;;;Германия;marki_stalei_check;0,52-0,60;;;0;0;;;;;0,025;0,025;;;0;
1.09049255;;;Германия;marki_stalei_check;0,52-0,60;;;0;0;;;;;0,025;0,025;;;0;
G925509255;;;США;marki_stalei_check;0,51-0,59;;;0;0;;;;;0,04;0,035;;;0;
G415004150;;;США;marki_stalei_check;0,48-0,53;;;0;0;;;;;0,04;0,035;;;0;
1.350552100;;;Германия;marki_stalei_check;0,93-1,05;;;0;0;;;;;0,015;0,025;;;0;
EN3152100;;;Великобритания;marki_stalei_check;0,95-1,05;;;0;0;;;;;0,025;0,025;;;0;
GCr1552100;;;Китай;marki_stalei_check;0,98-1,10;;;0;0;;;;;0,025;0,025-0,030;;;0;
SHH1552100;;;Россия;marki_stalei_check;0,95-1,05;;;0;0;;;;;0,02;0,027;;;0;
G5298652100;;;США;marki_stalei_check;0,98-1,10;;;0;0;;;;;0,025;0,025-0,030;;;0;
52100 VAC-ARC52100;Latrobe, США;Latrobe;США;marki_stalei_check;1,05;;;0;0;;;;;;;;;0;VIM
SUJ151100;;;Япония;marki_stalei_check;0,95-1,10;;;0;0;;;;;0,025;0,025;;;0;
G5198651100;;;США;marki_stalei_check;0,98-1,10;;;0;0;;;;;0,025;0,025;;;0;
RA5WX60WMoCrV6-5-4-2;Aubert & Duval, Франция;Aubert & Duval;Франция;marki_stalei_check;0,65;;;1,8;5,8;;;;;;;;;0;
1.241074CrW1;;;Германия;marki_stalei_check;0,70-0,75;;;0;0,25;;;;;;;;;0;
G515005150;;;США;marki_stalei_check;0,48-0,53;;;0;0;;;;;0,04;0,035;;;0;
G516005160;;;США;marki_stalei_check;0,56-0,64;;;0;0;;;;;0,04;0,035;;;0;
G615006150;;;США;marki_stalei_check;0,48-0,53;;;0;0;;;;;0,04;0,035;;;0;
G867008670;;;США;marki_stalei_check;0,64-0,75;;;0;0;;;;;0,025;0,025;;;0;
T9MoVAUS118;Bonpertuis, Франция;Bonpertuis;Франция;marki_stalei_check;0,9;;;0,1;0;;;;;;;;;0;
1.4037X65Cr13;;;Германия;marki_stalei_check;0,58-0,70;;;0;0;;;;;0,015;0,045;;;0;
1.2442115W8;;;Германия;marki_stalei_check;1,10-1,20;;;0;1,80-2,10;;;;;0,035;0,035;;;0;
1.2345H11;;;Германия;marki_stalei_check;0,48-0,53;;;0,80-1,00;0;;;;;0,03;0,03;;;0;
X125CrMoV931X125CrMoV9-3-1;;;Германия;marki_stalei_check;1,4;;;3,7;0;;;;;;;;;0;
X125CrMoV9-3-1X125CrMoV931;;;Германия;marki_stalei_check;1,25;;;1,18;0;;;;;;;;;0;
T12015T15;;;США;marki_stalei_check;1,50-1,60;;;4,50-5,25;11,75-13,00;;;;;0,03;0,03;;;0;
Dynavan T15T15;Latrobe, США;Latrobe;США;marki_stalei_check;1,57;;;5;12,25;;;;;;;;;0;
LO-QPM T15T15;Lohmann, Германия;Lohmann;Германия;marki_stalei_check;1,5;;;5;13;;;;;;;;;0;PM
1.71039254;;;Германия;marki_stalei_check;0,62-0,72;;;0;0;;;;;0,035;0,035;;;0;
1.17301045;;;Германия;marki_stalei_check;0,42-0,50;;;0;0;;;;;0,03;0,03;;;0;
G104501045;;;США;marki_stalei_check;0,43-0,50;;;0;0;;;;;0,05;0,03;;;0;
C45E1045;Saarstahl, Германия;Saarstahl;Германия;marki_stalei_check;0,45;;;0;0;;;;;0,03;;;;0;
