link,title,maker,country,cc,country_raw
https://zknives.com/knives/steels/s31600.shtml,"UNS S31600 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s31603.shtml,"UNS S31603 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s31635.shtml,"UNS S31635 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s35vn.shtml,"Crucible S35VN Knife SteelComposition Analysis Graph, Equivalents And Overview",Crucible,США,US,United States(US)
https://zknives.com/knives/steels/s35c.shtml,"JIS S35C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s390.shtml,"Bohler-Uddeholm S390 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s390_microclean.shtml,"Bohler-Uddeholm S390 Microclean Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s4.shtml,"AISI S4 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s400.shtml,"Bohler-Uddeholm S400 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s401.shtml,"Bohler-Uddeholm S401 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s404.shtml,"Bohler-Uddeholm S404 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s405.shtml,"Bohler-Uddeholm S405 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s41000.shtml,"UNS S41000 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s41600.shtml,"UNS S41600 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s42000.shtml,"UNS S42000 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s43000.shtml,"UNS S43000 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s43400.shtml,"UNS S43400 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s44002.shtml,"UNS S44002 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s44003.shtml,"UNS S44003 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s44004.shtml,"UNS S44004 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s45.shtml,"MSZ S45 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s45c.shtml,"JIS S45C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s45cm.shtml,"JIS S45CM Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s45vn.shtml,"Crucible S45VN Knife SteelComposition Analysis Graph, Equivalents And Overview",Crucible,США,US,United States(US)
https://zknives.com/knives/steels/s48c.shtml,"JIS S48C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s5.shtml,"AISI S5 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
