grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
AlCr5(A),,Fe,,4.5-5.5,,,,,,0-0.05,0-0.2,,,0-0.05,,,Fe 0-0.3; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2728
AlCr5(B),,Fe,,4.5-5.5,,,,,0-0.2,0-0.4,0-0.5,,,0-0.2,,,Fe 0-0.7; Ti 0-0.1; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2729
AlCu33(A),,Fe,,,,,,,,,0-0.3,,,31-35,,,Fe 0-0.3; BE 0-0.0001; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2733
AlCu33(B),,Fe,,0-0.1,,,,,0-0.2,0-0.4,0-0.5,,,31-35,,,Fe 0-0.7; Ti 0-0.1; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2734
AlCu50(A),,Fe,,,,,,,,0-0.05,0-0.3,,,47-53,,,Fe 0-0.3; Ti 0-0.03; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2735
AlCu50(B),,Fe,,0-0.1,,,,,0-0.2,0-0.4,0-0.5,,,47-53,,,Fe 0-0.7; Ti 0-0.1; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2736
AlFe10(A),,Fe,,,,,,,,,0-0.3,,,,,,Fe 9-11; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2737
AlFe10(B),,Fe,,0-0.1,,,,,0-0.2,0-0.4,0-0.5,,,0-0.2,,,Fe 9-11; Ti 0-0.1; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2738
AlFe20,,Fe,,,,,,,,0-0.2,0-0.3,,,,,,Fe 18-22; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2739
AlMg10,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Mg 9-11; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2740
AlMg20,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Mg 18-22; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2741
AlMg50,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Mg 47-53; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2742
AlMn10(A),,Fe,,,,,,,,9-11,0-0.3,,,0-0.04,,,Fe 0-0.4; Ti 0-0.03; BE 0-0.0001; Mg 0-0.04; Zn 0-0.04; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2743
AlMn10(B),,Fe,,0-0.1,,,,,0-0.2,9-11,0-0.5,,,0-0.2,,,Fe 0-0.7; Ti 0-0.1; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2744
AlMn20(A),,Fe,,,,,,,,18-22,0-0.3,,,0-0.04,,,Fe 0-0.4; Ti 0-0.03; BE 0-0.0001; Mg 0-0.04; Zn 0-0.04; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2745
AlMn20(B),,Fe,,0-0.1,,,,,0-0.2,18-22,0-0.5,,,0-0.2,,,Fe 0-0.7; Ti 0-0.1; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2746
AlMn60(A),,Fe,,,,,,,,58-64,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2747
AlMn60(B),,Fe,,,,,,,,58-64,0-0.3,,,,,,Fe 0-1; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2748
AlNi10,,Fe,,,,,,,9-11,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2749
AlNi20,,Fe,,,,,,,18-22,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2750
AlSb10,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Sb 9-11; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2751
AlSc2(A),,Fe,,,,,,,,0-0.01,0-0.05,,,0-0.01,,,Fe 0-0.05; Ca 0-0.01; BE 0-0.0001; Mg 0-0.1; Sn 0-0.02; SC 1.7-2.3; F 0-0.01; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2752
AlSc2(B),,Fe,,,,,,,,0-0.05,0-0.3,,,0-0.05,,,Fe 0-0.3; Ca 0-0.01; BE 0-0.0001; Mg 0-0.1; Sn 0-0.02; SC 1.7-2.3; F 0-0.01; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2753
AlSc5(A),,Fe,,,,,,,,0-0.01,0-0.05,,,0-0.01,,,Fe 0-0.05; Ca 0-0.01; BE 0-0.0001; Mg 0-0.1; Sn 0-0.02; SC 4.7-5.3; F 0-0.01; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2754
AlSc5(B),,Fe,,,,,,,,0-0.05,0-0.3,,,0-0.05,,,Fe 0-0.3; Ca 0-0.01; BE 0-0.0001; Mg 0-0.1; Sn 0-0.02; SC 4.7-5.3; F 0-0.01; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2755
AlSi20(A),,Fe,,,,,,,,,18-22,,,,,,Fe 0-0.3; Ca 0-0.06; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2756
AlSi20(B),,Fe,,0-0.1,,,,,0-0.2,0-0.4,18-22,,,0-0.2,,,Fe 0-0.7; Ti 0-0.1; Ca 0-0.06; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2757
AlSi50(A),,Fe,,0-0.05,,,,,0-0.05,0-0.05,47-53,,,0-0.05,,,Fe 0-0.3; Ti 0-0.05; Ca 0-0.15; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2758
AlSi50(B),,Fe,,0-0.1,,,,,0-0.2,0-0.4,47-53,,,0-0.2,,,Fe 0-0.7; Ti 0-0.1; Ca 0-0.15; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2759
AlSr10,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BA 0-0.1; Ca 0-0.1; BE 0-0.0001; Mg 0-0.1; Sn 0-0.02; F 0-0.01; SR 9-11; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2762
AlSr10Ti1B0.2,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; Ti 0.8-1.2; B 0.15-0.25; BA 0-0.1; Ca 0-0.1; BE 0-0.0001; Mg 0-0.1; Sn 0-0.02; F 0-0.01; SR 9-11; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2763
AlSr3.5,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; Ca 0-0.03; BE 0-0.0001; Sn 0-0.02; F 0-0.01; SR 3.2-3.8; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2760
AlSr5,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BA 0-0.05; Ca 0-0.05; BE 0-0.0001; Mg 0-0.05; Sn 0-0.02; F 0-0.01; SR 4.5-5.5; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2761
AlTi10(A),,Fe,,,,0-0.3,,,,,0-0.2,,,,,,Fe 0-0.3; Ti 9-11; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2766
AlTi10(B),,Fe,,0-0.1,,0-0.5,,,0-0.2,0-0.4,0-0.3,,,0-0.2,,,Fe 0-0.7; Ti 9-11; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2767
AlTi2.5,,Fe,,,,0-0.2,,,,0-0.05,0-0.2,,,0-0.05,,,Fe 0-0.3; Ti 2-3; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2764
AlTi3B1,,Fe,,,,0-0.2,,,,,0-0.3,,,,,,Fe 0-0.3; Ti 2.7-3.5; B 0.8-1.2; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2768
AlTi5,,Fe,,,,0-0.2,,,,0-0.05,0-0.2,,,0-0.05,,,Fe 0-0.3; Ti 4.5-5.5; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2765
AlTi5B0.2,,Fe,,,,0-0.15,,,,,0-0.2,,,,,,Fe 0-0.3; Ti 4.5-5.5; B 0.15-0.25; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2769
AlTi5B0.6,,Fe,,,,0-0.2,,,,,0-0.3,,,,,,Fe 0-0.3; Ti 4.5-5.5; B 0.5-0.8; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2770
AlTi5B1,,Fe,,,,0-0.15,,,,,0-0.2,,,,,,Fe 0-0.3; Ti 4.5-5.5; B 0.9-1.1; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2771
AlV10,,Fe,,,,9-11,,,,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2773
AlV5,,Fe,,,,4-6,,,,0-0.15,0-0.3,,,,,,Fe 0-0.4; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2772
AlZr10(A),,Fe,,,,,,,,0-0.05,0-0.2,,,0-0.05,,,Fe 0-0.3; Zr 9-11; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2777
AlZr10(B),,Fe,,,,,,,0-0.2,,0-0.3,,,0-0.2,,,Fe 0-0.45; Ti 0-0.2; Zr 9-11; BE 0-0.0001; Sn 0-0.2; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2778
AlZr15,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.4; Zr 13.5-16; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2779
AlZr2.5,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; Zr 2-3; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2775
AlZr5(A),,Fe,,,,,,,,0-0.05,0-0.2,,,0-0.05,,,Fe 0-0.3; Zr 4.5-5.5; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2774
AlZr5(B),,Fe,,,,,,,0-0.1,,0-0.3,,,0-0.1,,,Fe 0-0.45; Ti 0-0.1; Zr 4.5-5.5; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2776
Cu-DHP,,Fe,,,,,,,,,,,0.015-0.04,,,,AG 0-0.015; 99.9,,"ГОСТ 52948-2008, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2559
АМФ,,Fe,,,,,,,0-0.002,,,0-0.004,0.03-0.16,99.816-99.97,,,Fe 0-0.005; As 0-0.002; Pb 0-0.005; Zn 0-0.004; AG 0-0.003; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; всего 0.1,,"ГОСТ 767-91, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1693
АМФу,,Fe,,,,,,,0-0.002,,,0-0.003,0.03-0.08,99.903-99.97,,,Fe 0-0.003; As 0-0.001; Pb 0-0.002; Zn 0-0.004; AG 0-0.003; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; всего 0.1,,"ГОСТ 767-91, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1695
М0,,Fe,,,,,,,0-0.002,,,0-0.003,,,,,Fe 0-0.004; As 0-0.001; Pb 0-0.003; Zn 0-0.003; O 0-0.04; Sb 0-0.002; BI 0-0.0005; Sn 0-0.001; 99.93,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1116
М00,,Fe,,,,,,,0-0.001,,,0-0.002,0-0.0005,99.96,,,Fe 0-0.001; As 0-0.001; Pb 0-0.001; Zn 0-0.001; AG 0-0.002; O 0-0.03; Sb 0-0.001; BI 0-0.0005; Sn 0-0.001,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1115
М001,,Fe,,,,,,,,,,0-0.0015,,99.99,,,Fe 0-0.001; As 0-0.0005; Pb 0-0.0005; SE 0-0.0002; AG 0-0.0025; O 0-0.04; Sb 0-0.0004; BI 0-0.0002; TE 0-0.0002; всего 0.0065,,"ГОСТ 53803-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2710
М001б,,Fe,,,,,,,,,,0-0.0015,,99.99,,,Fe 0-0.001; As 0-0.0005; Pb 0-0.0005; SE 0-0.0002; AG 0-0.0023; O 0-0.001; Sb 0-0.0004; BI 0-0.0002; TE 0-0.0002; всего 0.0065,,"ГОСТ 53803-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2711
М00б,C10100,Fe,,,,,,,0-0.001,,,0-0.001,0-0.0003,99.99,,,Fe 0-0.001; As 0-0.001; Pb 0-0.001; Zn 0-0.001; AG 0-0.002; O 0-0.001; Sb 0-0.001; BI 0-0.0005; Sn 0-0.001,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1113
М00к,,Fe,,,,,,,,,,0-0.0015,,99.9835,,,Fe 0-0.001; As 0-0.0005; Pb 0-0.0005; SE 0-0.0002; AG 0-0.002; O 0-0.01; Sb 0-0.0004; BI 0-0.0002; TE 0-0.0002; всего 0.0065,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1690
М0б,C10100 2.0040 C1011 Cu-C2 C110,Fe,,,,,,,0-0.002,,,0-0.003,0-0.002,,,,Fe 0-0.004; As 0-0.002; Pb 0-0.003; Zn 0-0.003; O 0-0.001; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; 99.97,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1114
М0к,,Fe,,,,,,,0-0.001,,,0-0.002,0-0.001,99.97,,,Fe 0-0.001; As 0-0.001; Pb 0-0.001; Zn 0-0.001; AG 0-0.002; O 0-0.015; Sb 0-0.001; BI 0-0.0005; Sn 0-0.001,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1111
М1,C11000 C12200 2.0090 ECu57 ECu58 C1100 C1220 C106,Fe,,,,,,,0-0.002,,,0-0.004,,,,,Fe 0-0.005; As 0-0.002; Pb 0-0.005; Zn 0-0.004; O 0-0.05; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; 99.9,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1117
М1б,,Fe,,,,,,,0-0.002,,,0-0.004,0-0.002,99.95,,,Fe 0-0.004; As 0-0.002; Pb 0-0.004; Zn 0-0.003; O 0-0.003; Sb 0-0.002; BI 0-0.001; Sn 0-0.002,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1692
М1Е,,Fe,,,,,,,0-0.002,,,0-0.004,,,,,Fe 0-0.005; As 0-0.002; Pb 0-0.005; Zn 0-0.004; O 0-0.05; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; 99.9,,"ГОСТ 1173-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2384
М1к,,Fe,,,,,,,0-0.002,,,0-0.004,0-0.002,99.95,,,Fe 0-0.003; As 0-0.002; Pb 0-0.003; Zn 0-0.003; AG 0-0.003; O 0-0.02; Sb 0-0.002; BI 0-0.001; Sn 0-0.002,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1112
М1ор,,Fe,,,,,,,,,,,,,,,,,"ГОСТ 53803-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2712
М1р,C12000 C12200 C1201 C1220,Fe,,,,,,,0-0.002,,,0-0.005,0.002-0.012,,,,Fe 0-0.005; As 0-0.002; Pb 0-0.005; Zn 0-0.005; O 0-0.01; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; 99.9,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1118
М1рЕ,,Fe,,,,,,,0-0.002,,,0-0.005,0.002-0.012,,,,Fe 0-0.005; As 0-0.002; Pb 0-0.005; Zn 0-0.005; O 0-0.01; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; 99.9,,"ГОСТ 1173-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2385
М1у,,Fe,,,,,,,0-0.002,,,0-0.003,,99.9,,,Fe 0-0.003; As 0-0.001; Pb 0-0.002; Zn 0-0.004; O 0-0.045; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; всего 0.1,,"ГОСТ 767-91, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1694
М1ф,,Fe,,,,,,,0-0.002,,,0-0.005,0.012-0.04,,,,Fe 0-0.005; As 0-0.002; Pb 0-0.005; Zn 0-0.005; Sb 0-0.002; BI 0-0.001; Sn 0-0.002; 99.9,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1119
М2,C12500 C1821 Cu99 7G 423004,Fe,,,,,,,0-0.2,,,0-0.01,,,,,Fe 0-0.05; As 0-0.01; Pb 0-0.01; O 0-0.07; Sb 0-0.005; BI 0-0.002; Sn 0-0.05; 99.7,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1122
М2к,,Fe,,,,,,,0-0.003,,,0-0.01,0-0.002,99.93,,,Fe 0-0.005; As 0-0.002; Pb 0-0.005; Zn 0-0.004; AG 0-0.003; O 0-0.03; Sb 0-0.002; BI 0-0.001; Sn 0-0.002,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1691
М2р,,Fe,,,,,,,0-0.2,,,0-0.01,0.005-0.06,,,,Fe 0-0.05; As 0-0.01; Pb 0-0.01; O 0-0.01; Sb 0-0.005; BI 0-0.002; Sn 0-0.05; 99.7,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1120
М3,C14200 C107 Cu99.56 423005,Fe,,,,,,,0-0.2,,,0-0.01,,,,,Fe 0-0.05; As 0-0.01; Pb 0-0.05; O 0-0.08; Sb 0-0.05; BI 0-0.003; Sn 0-0.05; 99.5,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1123
М3р,,Fe,,,,,,,0-0.2,,,0-0.01,0.005-0.06,99.5,,,Fe 0-0.05; As 0-0.05; Pb 0-0.03; O 0-0.01; Sb 0-0.05; BI 0-0.003; Sn 0-0.05,,"ГОСТ 859-2001, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1121
МБ-1,,Fe,,,,,,,,,0-0.02,,,88.9-96,,,Fe 0-0.02; Al 0-0.02; Pb 0-0.0007; BE 4-11; Mg 0-0.04,,"ГОСТ 23912-79, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1872
МСр1,,Fe,,,,,,,,,,0-0.01,,98.295-98.9,,,Fe 0-0.05; As 0-0.01; Pb 0-0.01; AG 0.8-1.2; O 0-0.07; Sb 0-0.005; BI 0-0.002; Sn 0-0.05; всего 0.3,,"ГОСТ 16130-90, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1910
МН0.6,,Fe,0-0.002,,,,,,,,0-0.002,0-0.005,0-0.002,99.27-99.43,,,Ni+Co 0.57-0.63; Fe 0-0.01; As 0-0.002; Pb 0-0.005; Sb 0-0.002; BI 0-0.002; всего 0.1,,"ГОСТ 492-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1183
МН10,,Fe,,,,,,,,,,,,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1314
МН16,,Fe,0-0.03,,,,,,,,0-0.002,0-0.002,0-0.002,83.5-84.7,,,Ni+Co 15.3-16.3; Fe 0-0.05; As 0-0.002; Pb 0-0.002; Mg 0-0.05; Sb 0-0.002; BI 0-0.002; всего 0.2,,"ГОСТ 492-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1157
МН19,,Fe,0-0.05,,,,,,,0-0.3,0-0.15,0-0.01,0-0.01,78.5-82,,,Ni+Co 18-20; Fe 0-0.5; As 0-0.01; Pb 0-0.005; Mg 0-0.05; Zn 0-0.3; Sb 0-0.005; BI 0-0.002; всего 1.5,,"ГОСТ 492-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1156
МН25,2.0830 CuNi25,Fe,0-0.05,,,,,,,0-0.5,,0-0.01,,72.7-76,,,Ni+Co 24-26; Fe 0-0.5; Pb 0-0.005; Zn 0-0.3; всего 1.3,,"ГОСТ 492-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1162
МН95-5,,Fe,0-0.03,,,,,,,,,0-0.01,0-0.02,94.5-95.6,,,Ni+Co 4.4-5; Fe 0-0.2; As 0-0.01; Pb 0-0.01; O 0-0.1; Sb 0-0.005; BI 0-0.002; всего 0.5,,"ГОСТ 492-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1185
МНА13-3,C72400,Fe,,,,,,,,0-0.5,,,,80.1-85.7,,,Ni+Co 12-15; Fe 0-1; Al 2.3-3; Pb 0-0.002; всего 1.9,,"ГОСТ 492-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1159
МНА6-1.5,,Fe,,,,,,,,0-0.2,,,,92.4-93.3,,,Ni+Co 5.5-6.5; Fe 0-0.5; Al 1.2-1.8; Pb 0-0.002; всего 1.1,,"ГОСТ 492-2006, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1160
