grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
ПСрОС3.5-95,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 0.7-1.3; AG 3.1-3.9; BI 0-0.01; Sn 94.49-96.05; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2526
ПСрОСу8,,Fe,,,,,,,,,,,,,,,Fe 0-0.2; Pb 0-0.2; AG 7.5-8.5; Sb 7-8; BI 0-0.015; Sn 74.68-78.1; всего 0.4,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2524
Зл99.9,,Fe,,,,,,,,,,,,0-0.012,,,Fe 0-0.035; Pb 0-0.003; AG 0-0.02; Sb 0-0.002; BI 0-0.002; AU 99.9; всего 0.1,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2567
Зл99.99,,Fe,,,,,,,,,,,,0-0.007,,,Fe 0-0.004; Pb 0-0.003; AG 0-0.008; Sb 0-0.001; BI 0-0.002; AU 99.99; всего 0.01,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2566
Зл99.99Ан,,Fe,,,,,,,,,,,,0-0.007,,,Fe 0-0.002; Pb 0-0.002; AG 0-0.008; Sb 0-0.001; BI 0-0.001; AU 99.99; всего 0.01,,"ГОСТ 25475-82, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2603
Зл999.9м,,Fe,,,,,,,,,,,,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2604
ЗлА-1,,Fe,,0-0.0005,,,,,0-0.0005,0-0.0005,0-0.003,,,0-0.001,,,Fe 0-0.001; Pb 0-0.001; Mg 0-0.003; Zn 0-0.001; AG 0-0.005; Sb 0-0.001; BI 0-0.001; Sn 0-0.001; AU 99.99; PT 0-0.001; PD 0-0.003; RH 0-0.001; всего 0.01,,"ГОСТ 28058-89, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2643
ЗлА-1П,,Fe,,0-0.0005,,,,,0-0.0005,0-0.0005,0-0.001,,,0-0.0005,,,Fe 0-0.0005; Pb 0-0.0005; Mg 0-0.001; Zn 0-0.0005; AG 0-0.005; Sb 0-0.0005; BI 0-0.0005; Sn 0-0.0005; AU 99.99; PT 0-0.0005; PD 0-0.0005; RH 0-0.0005; всего 0.01,,"ГОСТ 28058-89, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2642
ЗлА-2,,Fe,,0-0.0005,,,,,0-0.0005,0-0.0005,,,,0-0.005,,,Fe 0-0.001; Pb 0-0.005; Zn 0-0.001; AG 0-0.015; Sb 0-0.001; BI 0-0.001; Sn 0-0.001; AU 99.98; PT 0-0.005; PD 0-0.005; RH 0-0.001; всего 0.02,,"ГОСТ 28058-89, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2644
ЗлА-3,,Fe,,,,,,,,,,,,,,,,,"ГОСТ 28058-89, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2645
ЗлМ58.3,,Fe,,,,,,,,,,,,41.07-41.84,,,Fe 0-0.15; Pb 0-0.005; Sb 0-0.005; BI 0-0.005; AU 58-58.6; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2593
ЗлМ90,,Fe,,,,,,,,,,,,9.37-10.14,,,Fe 0-0.15; Pb 0-0.005; Sb 0-0.005; BI 0-0.005; AU 89.7-90.3; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2592
ЗлМ91.6,,Fe,,,,,,,,,,,,7.77-8.54,,,Fe 0-0.15; Pb 0-0.005; Sb 0-0.005; BI 0-0.005; AU 91.3-91.9; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2591
ЗлМ98,,Fe,,,,,,,,,,,,1.47-2.19,,,Fe 0-0.1; Pb 0-0.005; Sb 0-0.005; BI 0-0.005; AU 97.7-98.3; всего 0.11,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2590
ЗлН95,,Fe,,,,,,,4.27-5.39,,,,,,,,Fe 0-0.1; Pb 0-0.005; Sb 0-0.005; BI 0-0.005; AU 94.5-95.5; всего 0.11,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2594
ЗлПд60-40,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 59.5-60.5; PD 39.5-40.5; всего 0.13; Pt+Ir+Rh 0-0.10,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2601
ЗлПд80-20,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 79.5-80.5; PD 19.5-20.5; всего 0.13; Pt+Ir+Rh 0-0.10,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2600
ЗлПд84-16,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 83.5-84.5; PD 15.5-16.5; всего 0.13; Pt+Ir+Rh 0-0.10,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2599
ЗлПдПл60-30-10,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 59.4-60.6; PT 9.5-10.5; PD 29.5-30.5; всего 0.18; 0-0.15,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2602
ЗлПл90-10,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 89.6-90.4; PT 9.6-10.4; всего 0.11; 0-0.08,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2598
ЗлПл93-7,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 92.6-93.4; PT 6.6-7.4; всего 0.11; 0-0.08,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2597
ЗлПл95-5,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 94.7-95.3; PT 4.7-5.3; всего 0.11; 0-0.08,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2596
ЗлПл98-2,,Fe,,,,,,,,,,,,,,,Fe 0-0.03; Pb 0-0.003; AU 97.7-98.3; PT 1.7-2.3; всего 0.11; 0-0.08,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2595
ЗлСр58.3-41.7,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 0-0.005; AG 41.4-42; Sb 0-0.005; BI 0-0.005; AU 58-58.6; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2571
ЗлСр60-40,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 0-0.005; AG 39.7-40.3; Sb 0-0.005; BI 0-0.005; AU 59.7-60.3; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2570
ЗлСр75-25,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 0-0.005; AG 24.7-25.3; Sb 0-0.005; BI 0-0.005; AU 74.7-75.3; всего 0.16,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2569
ЗлСр99-1,,Fe,,,,,,,,,,,,,,,Fe 0-0.05; Pb 0-0.003; AG 0.7-1.3; Sb 0-0.005; BI 0-0.005; AU 98.7-99.3; всего 0.1,,"ГОСТ 6835-2002, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2568
