grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
ASP2052,https://zknives.com/knives/steels/asp2052.shtml,Carpenter,US,США,"Erasteel, Франция",Франция,proprietary,country_mismatch;maker_mismatch
PM52,https://zknives.com/knives/steels/pm52.shtml,Carpenter,US,США,,,,missing_standard
GPMT15+,https://zknives.com/knives/steels/gpmt15$.shtml,Carpenter,US,США,"Geruk, Германия",Германия,proprietary,country_mismatch;maker_mismatch
Mach7,https://zknives.com/knives/steels/mach7.shtml,Carpenter,US,США,,,,missing_standard
CSW545,https://zknives.com/knives/steels/csw545.shtml,Carpenter,US,США,,,,missing_standard
PM39,https://zknives.com/knives/steels/pm39.shtml,Carpenter,US,США,,,,missing_standard
Stellapur PM39,https://zknives.com/knives/steels/stellapur_pm39.shtml,Carpenter,US,США,"Stellapur PM39, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
TSP5,https://zknives.com/knives/steels/tsp5.shtml,Carpenter,US,США,,,,missing_standard
PMHS3-3-4,https://zknives.com/knives/steels/pmhs3-3-4.shtml,Erasteel,FR,Франция,,,,missing_standard
1.3377,https://zknives.com/knives/steels/1.3377.shtml,Erasteel,FR,Франция,"DIN 1.3377, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
HS3-3-4,https://zknives.com/knives/steels/hs3-3-4.shtml,Erasteel,FR,Франция,"ISO HS3-3-4, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
BSW40,https://zknives.com/knives/steels/bsw40.shtml,Erasteel,FR,Франция,,,,missing_standard
PMHS2-2-2,https://zknives.com/knives/steels/pmhs2-2-2.shtml,Erasteel,FR,Франция,,,,missing_standard
1.3397,https://zknives.com/knives/steels/1.3397.shtml,Erasteel,FR,Франция,"DIN 1.3397, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
HS2-2-2,https://zknives.com/knives/steels/hs2-2-2.shtml,Erasteel,FR,Франция,"ISO HS2-2-2, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
9X4M3F2AGST,https://zknives.com/knives/steels/9x4m3f2agst.shtml,,RU,Россия,"9Х4М3Ф2АГСТ, Россия",Россия,proprietary,expected_government_got_proprietary
EK42,https://zknives.com/knives/steels/ek42.shtml,,RU,Россия,,,,missing_standard
9KH4M3F2AGST,https://zknives.com/knives/steels/9kh4m3f2agst.shtml,,RU,Россия,,,,missing_standard
PMHS4-3-8,https://zknives.com/knives/steels/pmhs4-3-8.shtml,Erasteel,FR,Франция,,,,missing_standard
1.3352,https://zknives.com/knives/steels/1.3352.shtml,Erasteel,FR,Франция,"DIN 1.3352, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
1.3336,https://zknives.com/knives/steels/1.3336.shtml,Erasteel,FR,Франция,"DIN 1.3336, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
HS4-3-8,https://zknives.com/knives/steels/hs4-3-8.shtml,Erasteel,FR,Франция,"ISO HS4-3-8, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
CSW10V,https://zknives.com/knives/steels/csw10v.shtml,Erasteel,FR,Франция,,,,missing_standard
PM53,https://zknives.com/knives/steels/pm53.shtml,Erasteel,FR,Франция,,,,missing_standard
Stellapur PM53,https://zknives.com/knives/steels/stellapur_pm53.shtml,Erasteel,FR,Франция,"Stellapur PM53, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
7F,https://zknives.com/knives/steels/7f.shtml,Daido,JP,Япония,,,,missing_standard
HS11-5-6-16,https://zknives.com/knives/steels/hs11-5-6-16.shtml,Erasteel,FR,Франция,"ISO HS11-5-6-16, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
PMHS3-3-1-8,https://zknives.com/knives/steels/pmhs3-3-1-8.shtml,Erasteel,PM,,,,,missing_standard
1.3288,https://zknives.com/knives/steels/1.3288.shtml,Erasteel,PM,,"DIN 1.3288, Германия",Германия,government,expected_proprietary_got_government
HS3-3-1-8,https://zknives.com/knives/steels/hs3-3-1-8.shtml,Erasteel,PM,,"ISO HS3-3-1-8, Международный",Международный,government,expected_proprietary_got_government
CSW42,https://zknives.com/knives/steels/csw42.shtml,Erasteel,PM,,,,,missing_standard
S2-5-1-2,https://zknives.com/knives/steels/s2-5-1-2.shtml,Erasteel,FR,Франция,,,,missing_standard
HS2-5-1-2,https://zknives.com/knives/steels/hs2-5-1-2.shtml,Erasteel,FR,Франция,"ISO HS2-5-1-2, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
2715,https://zknives.com/knives/steels/2715.shtml,Erasteel,FR,Франция,,,,missing_standard
S6-5-2-8,https://zknives.com/knives/steels/s6-5-2-8.shtml,Erasteel,DE,Германия,,,,missing_standard
1.3222,https://zknives.com/knives/steels/1.3222.shtml,Erasteel,DE,Германия,"DIN 1.3222, Германия",Германия,government,expected_proprietary_got_government
HS6-5-2-8,https://zknives.com/knives/steels/hs6-5-2-8.shtml,Erasteel,DE,Германия,,,,missing_standard
C8,https://zknives.com/knives/steels/c8.shtml,Erasteel,DE,Германия,"Erasteel, Франция",Франция,proprietary,country_mismatch
S9-4-3-11,https://zknives.com/knives/steels/s9-4-3-11.shtml,Erasteel,DE,Германия,,,,missing_standard
1.3208,https://zknives.com/knives/steels/1.3208.shtml,Erasteel,DE,Германия,"DIN 1.3208, Германия",Германия,government,expected_proprietary_got_government
HS9-4-3-11,https://zknives.com/knives/steels/hs9-4-3-11.shtml,Erasteel,DE,Германия,,,,missing_standard
2737,https://zknives.com/knives/steels/2737.shtml,Erasteel,DE,Германия,,,,missing_standard
WKE45,https://zknives.com/knives/steels/wke45.shtml,Erasteel,DE,Германия,"Erasteel, Франция",Франция,proprietary,country_mismatch
S1-5-1-8,https://zknives.com/knives/steels/s1-5-1-8.shtml,Erasteel,FR,Франция,,,,missing_standard
HS1-5-1-8,https://zknives.com/knives/steels/hs1-5-1-8.shtml,Erasteel,FR,Франция,"ISO HS1-5-1-8, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
EMAT2,https://zknives.com/knives/steels/emat2.shtml,Erasteel,FR,Франция,,,,missing_standard
Matrix2,https://zknives.com/knives/steels/matrix2.shtml,Erasteel,FR,Франция,,,,missing_standard
SKS81,https://zknives.com/knives/steels/sks81.shtml,,JP,Япония,,,,missing_standard
SKS51,https://zknives.com/knives/steels/sks51.shtml,,JP,Япония,,,,missing_standard
GM51,https://zknives.com/knives/steels/gm51.shtml,,JP,Япония,,,,missing_standard
PX16,https://zknives.com/knives/steels/px16.shtml,PSM industries,US,США,,,,missing_standard
80WCrV8,https://zknives.com/knives/steels/80wcrv8.shtml,Metal Ravne,SI,Словения,,,,missing_standard
1.2552,https://zknives.com/knives/steels/1.2552.shtml,Metal Ravne,SI,Словения,"DIN 1.2552, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
SKS42,https://zknives.com/knives/steels/sks42.shtml,Metal Ravne,SI,Словения,,,,missing_standard
C.6445,https://zknives.com/knives/steels/c.6445.shtml,Metal Ravne,SI,Словения,,,,missing_standard
GS42,https://zknives.com/knives/steels/gs42.shtml,Metal Ravne,SI,Словения,,,,missing_standard
1053,https://zknives.com/knives/steels/1053.shtml,,US,США,,,,missing_standard
1.1213,https://zknives.com/knives/steels/1.1213.shtml,,US,США,"DIN 1.1213, Германия",Германия,government,country_mismatch
S53C,https://zknives.com/knives/steels/s53c.shtml,,US,США,,,,missing_standard
X48,https://zknives.com/knives/steels/x48.shtml,,US,США,,,,missing_standard
C.1633,https://zknives.com/knives/steels/c.1633.shtml,,US,США,,,,missing_standard
C.4754,https://zknives.com/knives/steels/c.4754.shtml,Metal Ravne,SI,Словения,,,,missing_standard
ATS314,https://zknives.com/knives/steels/ats314.shtml,Hitachi,JP,Япония,,,,missing_standard
NC10,https://zknives.com/knives/steels/nc10.shtml,Metal Ravne,PL,Польша,,,,missing_standard
X165CrV12,https://zknives.com/knives/steels/x165crv12.shtml,Metal Ravne,PL,Польша,"DIN X165CRV12, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
1.2201,https://zknives.com/knives/steels/1.2201.shtml,Metal Ravne,PL,Польша,"DIN 1.2201, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
CH165,https://zknives.com/knives/steels/ch165.shtml,Metal Ravne,PL,Польша,,,,missing_standard
