grade,db_grade,link,updated_fields,source,note
Weld Mold 937,Weld Mold 937,https://zknives.com/knives/steels/weld_mold_937.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
WAS63,WAS63,https://zknives.com/knives/steels/was63.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
LVC50,LVC50,https://zknives.com/knives/steels/lvc50.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
A3,A3,https://zknives.com/knives/steels/a3.shtml,"standard,w,co,nb,n",zknives_mismatches.csv,link
A4,A4,https://zknives.com/knives/steels/a4.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
T30104,T30104,https://zknives.com/knives/steels/t30104.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
Airloy,Airloy,https://zknives.com/knives/steels/airloy.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
Air4,Air4,https://zknives.com/knives/steels/air4.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
Airque4,Airque4,https://zknives.com/knives/steels/airque4.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
GO4,GO4,https://zknives.com/knives/steels/go4.shtml,"standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
ACD37,ACD37,https://zknives.com/knives/steels/acd37.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
Tempair,Tempair,https://zknives.com/knives/steels/tempair.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
AirMo,AirMo,https://zknives.com/knives/steels/airmo.shtml,"manufacturer,standard,v,w,co,ni,cu,nb,n",zknives_mismatches.csv,link
A6,A6,https://zknives.com/knives/steels/a6.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
70MnMoCr8,70MnMoCr8,https://zknives.com/knives/steels/70mnmocr8.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n",zknives_mismatches.csv,link
1.2824,1.2824,https://zknives.com/knives/steels/1.2824.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
BA6,BA6,https://zknives.com/knives/steels/ba6.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
T30106,T30106,https://zknives.com/knives/steels/t30106.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
Apache,Apache,https://zknives.com/knives/steels/apache.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
Jess Air,Jess Air,https://zknives.com/knives/steels/jess_air.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n",zknives_mismatches.csv,link
UHB1550,UHB1550,https://zknives.com/knives/steels/uhb1550.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
Uni-Die,Uni-Die,https://zknives.com/knives/steels/uni-die.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
CSM6,CSM6,https://zknives.com/knives/steels/csm6.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
Diecrat,Diecrat,https://zknives.com/knives/steels/diecrat.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
Low Air,Low Air,https://zknives.com/knives/steels/low_air.shtml,"manufacturer,standard,v,w,co,ni,s,p,cu,nb,n",zknives_mismatches.csv,link
A7,A7,https://zknives.com/knives/steels/a7.shtml,"standard,co,nb,n,analogues",zknives_mismatches.csv,link
19581,19581,https://zknives.com/knives/steels/19581.shtml,"co,nb,n,analogues",zknives_mismatches.csv,link
